NOM_CARTE nbJoueurs couleur or bois pierre briques minerais textile verre papyrus ...
PRETEUR_SUR_GAGE 4 b 0 0 0 0 0 0 0 0 3
PRETEUR_SUR_GAGE 7 b 0 0 0 0 0 0 0 0 3
BAINS 3 b 0 0 1 0 0 0 0 0 3
BAINS 7 b 0 0 1 0 0 0 0 0 3
AUTEL 3 b 0 0 0 0 0 0 0 0 2
AUTEL 5 b 0 0 0 0 0 0 0 0 2
THEATRE 3 b 0 0 0 0 0 0 0 0 2
THEATRE 6 b 0 0 0 0 0 0 0 0 2

CHANTIER 3 w 0 0 0 0 0 0 0 0 b
CHANTIER 4 w 0 0 0 0 0 0 0 0 b
CAVITE 3 w 0 0 0 0 0 0 0 0 p
CAVITE 5 w 0 0 0 0 0 0 0 0 p
BASSIN_ARGILEUX 3 w 0 0 0 0 0 0 0 0 a
BASSIN_ARGILEUX 5 w 0 0 0 0 0 0 0 0 a
FILON 3 w 0 0 0 0 0 0 0 0 m
FILON 4 w 0 0 0 0 0 0 0 0 m
FRICHE 6 w 1 0 0 0 0 0 0 0 b/a
EXCAVATION 4 w 1 0 0 0 0 0 0 0 p/a
FOSSE_ARGILEUSE 3 w 1 0 0 0 0 0 0 0 a/m
EXPLOITATION_FORESTIERE 3 w 1 0 0 0 0 0 0 0 p/b
GISEMENT 5 w 1 0 0 0 0 0 0 0 b/m
MINE 6 w 1 0 0 0 0 0 0 0 m/p

TEST_18 3 b 0 0 0 0 0 0 0 0 12
TEST_19 3 b 0 0 0 0 0 0 0 0 12
TEST_20 3 b 0 0 0 0 0 0 0 0 12
TEST_21 3 b 0 0 0 0 0 0 0 0 12
TEST_22 3 b 0 0 0 0 0 0 0 0 12
TEST_23 3 b 0 0 0 0 0 0 0 0 12
TEST_24 3 b 0 0 0 0 0 0 0 0 12
TEST_25 3 b 0 0 0 0 0 0 0 0 12
